,state,year,gun_deaths,population,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,assault_crime,burglary_crime,larceny_theft_crime,vehicle_theft_crime,other_crime,income,beer,wine,spirits,alcohol_consumed,us_decile,lawtotal,democrat,republican,other_weapon,destructive_device,machinegun,silencer,short_barreled_rifle,short_barreled_shotgun,total_weapons,marijuana,cocaine,tobacco,alcohol_abuse,mental,depression,gun_deaths_norm,other_crime_norm
0,Alabama,1999,293.0,,,,,,,,,,,,,1.18,0.17,0.51,1.87,9.0,16.0,,,,,,,,,,,,,,,,,
1,Alabama,2000,294.0,4452173.0,,,,,,,,,,,,1.19,0.18,0.51,1.88,9.0,11.0,41.6,56.5,,,,,,,,,,,,,,6.603516979236881,
2,Alabama,2001,302.0,4467634.0,,,,,,,,,,,,1.16,0.17,0.53,1.86,9.0,11.0,41.6,56.5,,,,,,,,,,,,,,6.759730094273613,
3,Alabama,2002,292.0,4480089.0,,,,,,,,,,,,1.18,0.21,0.54,1.92,9.0,11.0,41.6,56.5,,,,,,,,,,,,,,6.517727661213873,
4,Alabama,2003,322.0,4503491.0,,,,,,,,,,,,1.19,0.19,0.52,1.9,9.0,11.0,41.6,56.5,,,,,,,,,,,,,,7.1500087376659565,
5,Alabama,2004,262.0,4530729.0,,,,,,,,,,,,1.19,0.2,0.52,1.91,9.0,11.0,36.8,62.5,,,,,,,,,,,,,,5.782733860268403,
6,Alabama,2005,319.0,4569805.0,,,,,,,,,,,,1.18,0.2,0.53,1.91,9.0,11.0,36.8,62.5,,,,,,,,,,,,,,6.9806042052122566,
7,Alabama,2006,333.0,4628981.0,,,,,,,,,,,,1.21,0.21,0.54,1.95,9.0,11.0,36.8,62.5,,,,,,,,,,,,,,7.193807881259396,
8,Alabama,2007,378.0,4672840.0,,,,,,,,,,,,1.23,0.22,0.55,2.0,9.0,11.0,36.8,62.5,,,,,,,,,,,,,,8.08929901301992,
9,Alabama,2008,349.0,4718206.0,,,,,,,,,,,,1.22,0.22,0.57,2.01,9.0,11.0,38.7,60.3,,,,,,,,,,,,,,7.39687923757462,
10,Alabama,2009,317.0,4757938.0,,,,,,,,,,,32685.0,1.19,0.22,0.57,1.98,9.0,11.0,38.7,60.3,,,,,,,,,,,,,,6.662550037432181,
11,Alabama,2010,283.0,4779736.0,25886.0,143362.0,407.0,1385.0,4686.0,18877.0,34065.0,97574.0,11723.0,168310.0,33696.0,1.17,0.23,0.58,1.98,9.0,11.0,38.7,60.3,,,,,,,,,,,,,,5.920829100184613,3521.324190290007
12,Alabama,2011,292.0,4798649.0,22957.0,144785.0,348.0,1449.0,4612.0,15960.0,35265.0,99182.0,10338.0,166806.0,34717.0,1.16,0.24,0.59,1.98,9.0,11.0,38.7,60.3,1085.0,38742.0,14201.0,7195.0,791.0,2013.0,64027.0,,,,,,,6.085046020244448,3476.103378263341
13,Alabama,2012,305.0,4813946.0,20727.0,154087.0,276.0,1425.0,4702.0,13744.0,39723.0,104223.0,10141.0,173958.0,35497.0,1.16,0.24,0.6,2.0,9.0,10.0,38.4,60.6,1133.0,47421.0,15653.0,8550.0,1327.0,2075.0,76159.0,362.0,48.0,1286.0,199.0,698.0,229.0,6.335758647895094,3613.625911050934
14,Alabama,2013,317.0,4827660.0,20834.0,161835.0,346.0,1449.0,4645.0,13788.0,42410.0,108862.0,10563.0,181717.0,35792.0,1.14,0.25,0.6,1.99,9.0,10.0,38.4,60.6,1139.0,61755.0,17400.0,10610.0,1688.0,2129.0,94721.0,389.0,48.0,1266.0,248.0,703.0,229.0,6.566328200411793,3764.0803204865297
15,Alabama,2014,325.0,4840037.0,21693.0,168878.0,342.0,1296.0,5020.0,15035.0,47481.0,111523.0,9874.0,190229.0,36903.0,1.13,0.25,0.62,2.0,9.0,10.0,38.4,60.6,1143.0,62117.0,17463.0,11967.0,1915.0,2139.0,96744.0,404.0,50.0,1275.0,233.0,712.0,250.0,6.714824700720263,3930.3211938255845
16,Alabama,2015,385.0,4850858.0,20166.0,173192.0,299.0,1370.0,4906.0,13591.0,51119.0,111411.0,10662.0,193059.0,38238.0,1.11,0.26,0.64,2.01,9.0,10.0,38.4,60.6,1154.0,74778.0,18212.0,15501.0,2550.0,2224.0,114419.0,389.0,50.0,1233.0,188.0,691.0,250.0,7.93674026326889,3979.893866198516
17,Alabama,2016,488.0,4860545.0,18363.0,168828.0,275.0,1355.0,4864.0,11869.0,42484.0,115564.0,10780.0,186916.0,38918.0,1.09,0.26,0.65,2.01,9.0,10.0,34.4,62.1,1166.0,77283.0,19390.0,30849.0,3765.0,2234.0,134687.0,386.0,49.0,1169.0,169.0,680.0,245.0,10.04002637564306,3845.5769877657754
18,Alabama,2017,544.0,4874747.0,,,,,,,,,,,39976.0,,,,,,10.0,34.4,62.1,1203.0,78434.0,26307.0,48118.0,5285.0,2294.0,161641.0,,,,,,,11.159553511187351,
19,Alaska,1999,27.0,,,,,,,,,,,,,1.4,0.38,0.95,2.74,1.0,7.0,,,,,,,,,,,,,,,,,
20,Alaska,2000,16.0,627963.0,,,,,,,,,,,,1.37,0.37,0.94,2.68,2.0,7.0,27.7,58.6,,,,,,,,,,,,,,2.54792081699081,
21,Alaska,2001,25.0,633714.0,,,,,,,,,,,,1.32,0.38,0.96,2.67,2.0,7.0,27.7,58.6,,,,,,,,,,,,,,3.944997270061889,
22,Alaska,2002,26.0,642337.0,,,,,,,,,,,,1.35,0.45,1.19,2.99,1.0,7.0,27.7,58.6,,,,,,,,,,,,,,4.047719499265962,
