,state,year,gun_deaths,population,democrat,republican,gun_deaths_norm
0,Alabama,2000,294.0,4452173,41.6,56.5,6.603516979236881
1,Alabama,2001,302.0,4467634,41.6,56.5,6.759730094273613
2,Alabama,2002,292.0,4480089,41.6,56.5,6.517727661213873
3,Alabama,2003,322.0,4503491,41.6,56.5,7.1500087376659565
4,Alabama,2004,262.0,4530729,36.8,62.5,5.782733860268403
5,Alabama,2005,319.0,4569805,36.8,62.5,6.9806042052122566
6,Alabama,2006,333.0,4628981,36.8,62.5,7.193807881259396
7,Alabama,2007,378.0,4672840,36.8,62.5,8.08929901301992
8,Alabama,2008,349.0,4718206,38.7,60.3,7.39687923757462
9,Alabama,2009,317.0,4757938,38.7,60.3,6.662550037432181
10,Alabama,2010,283.0,4779736,38.7,60.3,5.920829100184613
11,Alabama,2011,292.0,4798649,38.7,60.3,6.085046020244448
12,Alabama,2012,305.0,4813946,38.4,60.6,6.335758647895094
13,Alabama,2013,317.0,4827660,38.4,60.6,6.566328200411793
14,Alabama,2014,325.0,4840037,38.4,60.6,6.714824700720263
15,Alabama,2015,385.0,4850858,38.4,60.6,7.93674026326889
16,Alabama,2016,488.0,4860545,34.4,62.1,10.04002637564306
17,Alabama,2017,544.0,4874747,34.4,62.1,11.159553511187351
18,Alaska,2000,16.0,627963,27.7,58.6,2.54792081699081
19,Alaska,2001,25.0,633714,27.7,58.6,3.944997270061889
20,Alaska,2002,26.0,642337,27.7,58.6,4.047719499265962
21,Alaska,2003,32.0,648414,27.7,58.6,4.935118612491402
22,Alaska,2004,20.0,659286,35.6,61.2,3.0335848175147055
23,Alaska,2005,24.0,666946,35.6,61.2,3.5984922317548946
24,Alaska,2006,28.0,675302,35.6,61.2,4.146293065917175
25,Alaska,2007,25.0,680300,35.6,61.2,3.6748493311774215
26,Alaska,2008,15.0,687455,37.9,59.4,2.181961001083707
27,Alaska,2009,17.0,698895,37.9,59.4,2.4324111633364094
28,Alaska,2010,30.0,710231,37.9,59.4,4.223977832564335
29,Alaska,2011,19.0,722259,37.9,59.4,2.630635270726983
30,Alaska,2012,17.0,730825,40.8,54.8,2.3261382683953067
31,Alaska,2013,19.0,736760,40.8,54.8,2.5788587871219937
32,Alaska,2014,29.0,736759,40.8,54.8,3.9361582281315877
33,Alaska,2015,70.0,737979,40.8,54.8,9.485364759701834
34,Alaska,2016,88.0,741522,36.6,51.3,11.867483365294623
35,Alaska,2017,69.0,739795,36.6,51.3,9.32690812995492
36,Arizona,2000,274.0,5160586,44.7,51.0,5.3094745441699835
37,Arizona,2001,332.0,5273477,44.7,51.0,6.295656546904443
38,Arizona,2002,355.0,5396255,44.7,51.0,6.578636480299764
39,Arizona,2003,324.0,5510364,44.7,51.0,5.879829354285851
40,Arizona,2004,342.0,5652404,44.4,54.9,6.05052292794358
41,Arizona,2005,377.0,5839077,44.4,54.9,6.456499888595407
42,Arizona,2006,387.0,6029141,44.4,54.9,6.418824837568072
43,Arizona,2007,354.0,6167681,44.4,54.9,5.739596454485891
44,Arizona,2008,333.0,6280362,45.1,53.6,5.302242131902588
45,Arizona,2009,228.0,6343154,45.1,53.6,3.5944263689640827
46,Arizona,2010,271.0,6392017,45.1,53.6,4.23966331754124
47,Arizona,2011,259.0,6465488,45.1,53.6,4.005884783948249
48,Arizona,2012,254.0,6544211,44.6,53.7,3.881292947308698
49,Arizona,2013,251.0,6616124,44.6,53.7,3.7937620274347945
50,Arizona,2014,220.0,6706435,44.6,53.7,3.2804314065520654
51,Arizona,2015,215.0,6802262,44.6,53.7,3.1607133038980266
52,Arizona,2016,277.0,6908642,45.1,48.7,4.009471036420761
53,Arizona,2017,289.0,7016270,45.1,48.7,4.118997701057685
54,Arkansas,2000,140.0,2678588,45.9,51.3,5.226634331222271
55,Arkansas,2001,110.0,2691571,45.9,51.3,4.08683255986931
56,Arkansas,2002,146.0,2705927,45.9,51.3,5.395563147121115
57,Arkansas,2003,123.0,2724816,45.9,51.3,4.514066270896824
58,Arkansas,2004,141.0,2749686,44.5,54.4,5.1278582354494295
59,Arkansas,2005,154.0,2781097,44.5,54.4,5.537383269983032
60,Arkansas,2006,155.0,2821761,44.5,54.4,5.493023682728622
61,Arkansas,2007,153.0,2848650,44.5,54.4,5.3709651940392815
62,Arkansas,2008,145.0,2874554,38.9,58.7,5.044260779237405
63,Arkansas,2009,157.0,2896843,38.9,58.7,5.4196930934814205
64,Arkansas,2010,132.0,2915918,38.9,58.7,4.52687627018318
65,Arkansas,2011,145.0,2938640,38.9,58.7,4.934255301772248
66,Arkansas,2012,166.0,2949208,36.9,60.6,5.628629788065135
67,Arkansas,2013,152.0,2956780,36.9,60.6,5.140727412928929
68,Arkansas,2014,169.0,2964800,36.9,60.6,5.700215866162979
69,Arkansas,2015,155.0,2975626,36.9,60.6,5.20898795749197
70,Arkansas,2016,190.0,2988231,33.7,60.6,6.358276853429336
71,Arkansas,2017,216.0,3004279,33.7,60.6,7.189745027009808
72,California,2000,1483.0,33987977,53.4,41.7,4.363307648466398
73,California,2001,1589.0,34479458,53.4,41.7,4.608541120338956
74,California,2002,1810.0,34871843,53.4,41.7,5.1904340129083515
75,California,2003,1782.0,35253159,53.4,41.7,5.054866146889134
76,California,2004,1808.0,35574576,54.3,44.4,5.082281233654056
77,California,2005,1878.0,35827943,54.3,44.4,5.241718733336156
78,California,2006,1883.0,36021202,54.3,44.4,5.22747686209916
79,California,2007,1701.0,36250311,54.3,44.4,4.692373535774631
80,California,2008,1569.0,36604337,61.0,37.0,4.2863773219004075
81,California,2009,1460.0,36961229,61.0,37.0,3.9500851013368634
82,California,2010,1342.0,37253956,61.0,37.0,3.602301994451274
83,California,2011,1314.0,37672654,61.0,37.0,3.4879411469125587
84,California,2012,1362.0,38019006,60.2,37.1,3.582418751295076
85,California,2013,1312.0,38347383,60.2,37.1,3.4213547245192717
86,California,2014,1320.0,38701278,60.2,37.1,3.410740079436137
87,California,2015,1204.0,39032444,60.2,37.1,3.084613405196969
88,California,2016,1265.0,39296476,61.7,31.6,3.219118172326699
89,California,2017,1423.0,39536653,61.7,31.6,3.5991918688716518
90,Colorado,2000,84.0,4326921,42.4,50.8,1.9413342651737806
91,Colorado,2001,98.0,4425687,42.4,50.8,2.2143454790182857
92,Colorado,2002,116.0,4490406,42.4,50.8,2.583285342127193
93,Colorado,2003,117.0,4528732,42.4,50.8,2.583504610120449
94,Colorado,2004,131.0,4575013,47.0,51.7,2.8633798417621983
95,Colorado,2005,115.0,4631888,47.0,51.7,2.4827888757241108
96,Colorado,2006,104.0,4720423,47.0,51.7,2.203192383394454
97,Colorado,2007,91.0,4803868,47.0,51.7,1.8943068377399213
98,Colorado,2008,109.0,4889730,53.7,44.7,2.2291619373666847
99,Colorado,2009,108.0,4972195,53.7,44.7,2.172078930934929
100,Colorado,2010,97.0,5029196,53.7,44.7,1.9287377147361129
101,Colorado,2011,101.0,5116411,53.7,44.7,1.9740400057774876
102,Colorado,2012,115.0,5186330,51.5,46.1,2.2173675797722088
103,Colorado,2013,106.0,5262556,51.5,46.1,2.0142303473825267
104,Colorado,2014,149.0,5342311,51.5,46.1,2.7890551486051636
105,Colorado,2015,176.0,5440445,51.5,46.1,3.235029487477587
106,Colorado,2016,207.0,5530105,48.2,43.3,3.7431477340846153
107,Colorado,2017,199.0,5607154,48.2,43.3,3.5490375331228643
108,Connecticut,2000,61.0,3411777,55.9,38.4,1.787924591788971
109,Connecticut,2001,72.0,3432835,55.9,38.4,2.0973918058980408
110,Connecticut,2002,57.0,3458749,55.9,38.4,1.6479946940353287
111,Connecticut,2003,56.0,3484336,55.9,38.4,1.6071928769211694
112,Connecticut,2004,64.0,3496094,54.3,43.9,1.8306143942353954
113,Connecticut,2005,66.0,3506956,54.3,43.9,1.8819739968223155
114,Connecticut,2006,92.0,3517460,54.3,43.9,2.6155237017620667
115,Connecticut,2007,67.0,3527270,54.3,43.9,1.8994860047572204
116,Connecticut,2008,87.0,3545579,60.6,38.2,2.453760020577739
117,Connecticut,2009,78.0,3561807,60.6,38.2,2.189899677326705
118,Connecticut,2010,98.0,3574097,60.6,38.2,2.7419513236490225
119,Connecticut,2011,96.0,3591927,60.6,38.2,2.672660106956517
120,Connecticut,2012,114.0,3597705,58.1,40.8,3.1686867044407476
121,Connecticut,2013,66.0,3602470,58.1,40.8,1.832076325410066
122,Connecticut,2014,75.0,3600188,58.1,40.8,2.083224542718325
123,Connecticut,2015,90.0,3593862,58.1,40.8,2.504269779974857
124,Connecticut,2016,68.0,3587685,54.6,40.9,1.8953726428044826
125,Connecticut,2017,89.0,3588184,54.6,40.9,2.4803633258495106
126,Delaware,2000,9.0,786373,55.0,41.9,1.1444950424289744
127,Delaware,2001,19.0,795699,55.0,41.9,2.3878376119613067
128,Delaware,2002,28.0,806169,55.0,41.9,3.4732171542195247
129,Delaware,2003,18.0,818003,55.0,41.9,2.2004809273315624
130,Delaware,2004,27.0,830803,53.3,45.8,3.2498678988881844
131,Delaware,2005,33.0,845150,53.3,45.8,3.9046323137904513
132,Delaware,2006,34.0,859268,53.3,45.8,3.956856300944525
133,Delaware,2007,30.0,871749,53.3,45.8,3.441357546725032
134,Delaware,2008,54.0,883874,61.9,36.9,6.109468091605817
135,Delaware,2009,36.0,891730,61.9,36.9,4.037096430533905
136,Delaware,2010,45.0,897934,61.9,36.9,5.011504186276497
137,Delaware,2011,31.0,907884,61.9,36.9,3.4145331341889493
138,Delaware,2012,46.0,916868,58.6,40.0,5.017079884999804
139,Delaware,2013,38.0,925114,58.6,40.0,4.107601873931213
140,Delaware,2014,50.0,934805,58.6,40.0,5.348709089061355
141,Delaware,2015,58.0,944107,58.6,40.0,6.143371461073798
142,Delaware,2016,42.0,952698,53.4,41.9,4.4085323995641845
143,Delaware,2017,56.0,961939,53.4,41.9,5.821574964732691
144,District of Columbia,2000,138.0,572046,85.2,9.0,24.1239340892166
145,District of Columbia,2001,141.0,574504,85.2,9.0,24.542910058067477
146,District of Columbia,2002,176.0,573158,85.2,9.0,30.707065067572994
147,District of Columbia,2003,156.0,568502,85.2,9.0,27.440536708753882
148,District of Columbia,2004,137.0,567754,89.2,9.3,24.13016905208946
149,District of Columbia,2005,142.0,567136,89.2,9.3,25.038086102804268
150,District of Columbia,2006,120.0,570681,89.2,9.3,21.027509238961873
151,District of Columbia,2007,129.0,574404,89.2,9.3,22.45806087701339
152,District of Columbia,2008,122.0,580236,92.5,6.5,21.025927381272446
153,District of Columbia,2009,104.0,592228,92.5,6.5,17.560804284836244
154,District of Columbia,2010,84.0,601723,92.5,6.5,13.959911786652661
155,District of Columbia,2011,77.0,620336,92.5,6.5,12.412627995151015
156,District of Columbia,2012,55.0,635630,90.9,7.3,8.65283262275223
157,District of Columbia,2013,61.0,650114,90.9,7.3,9.38296975607355
158,District of Columbia,2014,92.0,660797,90.9,7.3,13.922581367651487
159,District of Columbia,2015,124.0,672736,90.9,7.3,18.43219331208676
160,District of Columbia,2016,106.0,684336,90.5,4.1,15.489467162329616
161,District of Columbia,2017,100.0,693972,90.5,4.1,14.409803277365656
