,next_date,state,next_deaths,next_year,this_year,last_year,population,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,assault_crime,burglary_crime,larceny_theft_crime,vehicle_theft_crime,violent_crime_old,property_crime_old,murder_crime_old,rape_crime_old,robbery_crime_old,assault_crime_old,burglary_crime_old,larceny_theft_crime_old,vehicle_theft_crime_old,violent_crime_diff,income,beer,wine,spirits,alcohol_consumed,us_decile,democrat,republican,other_weapon,destructive_device,machinegun,silencer,short_barreled_rifle,short_barreled_shotgun,total_weapons,other_weapon_old,destructive_device_old,machinegun_old,silencer_old,short_barreled_rifle_old,short_barreled_shotgun_old,total_weapons_old,registration_diff,marijuana,cocaine,tobacco,alcohol_abuse,mental,depression,marijuana_old,cocaine_old,tobacco_old,alcohol_abuse_old,mental_old,depression_old,marijuana_diff,cocaine_diff,tobacco_diff,alcohol_abuse_diff,mental_diff,depression_diff,this_deaths,this_date,rate_change
0,2014-01-31,Alabama,38.0,2014,2013,2012,4827660,20834,161835,346,1449,4645,13788,42410,108862,10563,20727,154087,276,1425,4702,13744,39723,104223,10141,107,35792,1.14,0.25,0.6,1.99,9,38.4,60.6,1139.0,61755.0,17400.0,10610.0,1688.0,2129.0,94721.0,1133.0,47421.0,15653.0,8550.0,1327.0,2075.0,76159.0,18562.0,389,48,1266,248,703,229,362,48,1286,199,698,229,27,0,-20,49,5,0,,,
1,2014-02-28,Alabama,16.0,2014,2013,2012,4827660,20834,161835,346,1449,4645,13788,42410,108862,10563,20727,154087,276,1425,4702,13744,39723,104223,10141,107,35792,1.14,0.25,0.6,1.99,9,38.4,60.6,1139.0,61755.0,17400.0,10610.0,1688.0,2129.0,94721.0,1133.0,47421.0,15653.0,8550.0,1327.0,2075.0,76159.0,18562.0,389,48,1266,248,703,229,362,48,1286,199,698,229,27,0,-20,49,5,0,38.0,2014-01-31,-0.5789473684210527
2,2014-03-31,Alabama,28.0,2014,2013,2012,4827660,20834,161835,346,1449,4645,13788,42410,108862,10563,20727,154087,276,1425,4702,13744,39723,104223,10141,107,35792,1.14,0.25,0.6,1.99,9,38.4,60.6,1139.0,61755.0,17400.0,10610.0,1688.0,2129.0,94721.0,1133.0,47421.0,15653.0,8550.0,1327.0,2075.0,76159.0,18562.0,389,48,1266,248,703,229,362,48,1286,199,698,229,27,0,-20,49,5,0,16.0,2014-02-28,0.75
3,2014-04-30,Alabama,25.0,2014,2013,2012,4827660,20834,161835,346,1449,4645,13788,42410,108862,10563,20727,154087,276,1425,4702,13744,39723,104223,10141,107,35792,1.14,0.25,0.6,1.99,9,38.4,60.6,1139.0,61755.0,17400.0,10610.0,1688.0,2129.0,94721.0,1133.0,47421.0,15653.0,8550.0,1327.0,2075.0,76159.0,18562.0,389,48,1266,248,703,229,362,48,1286,199,698,229,27,0,-20,49,5,0,28.0,2014-03-31,-0.10714285714285714
4,2014-05-31,Alabama,32.0,2014,2013,2012,4827660,20834,161835,346,1449,4645,13788,42410,108862,10563,20727,154087,276,1425,4702,13744,39723,104223,10141,107,35792,1.14,0.25,0.6,1.99,9,38.4,60.6,1139.0,61755.0,17400.0,10610.0,1688.0,2129.0,94721.0,1133.0,47421.0,15653.0,8550.0,1327.0,2075.0,76159.0,18562.0,389,48,1266,248,703,229,362,48,1286,199,698,229,27,0,-20,49,5,0,25.0,2014-04-30,0.28
5,2014-06-30,Alabama,24.0,2014,2013,2012,4827660,20834,161835,346,1449,4645,13788,42410,108862,10563,20727,154087,276,1425,4702,13744,39723,104223,10141,107,35792,1.14,0.25,0.6,1.99,9,38.4,60.6,1139.0,61755.0,17400.0,10610.0,1688.0,2129.0,94721.0,1133.0,47421.0,15653.0,8550.0,1327.0,2075.0,76159.0,18562.0,389,48,1266,248,703,229,362,48,1286,199,698,229,27,0,-20,49,5,0,32.0,2014-05-31,-0.25
6,2014-07-31,Alabama,33.0,2014,2013,2012,4827660,20834,161835,346,1449,4645,13788,42410,108862,10563,20727,154087,276,1425,4702,13744,39723,104223,10141,107,35792,1.14,0.25,0.6,1.99,9,38.4,60.6,1139.0,61755.0,17400.0,10610.0,1688.0,2129.0,94721.0,1133.0,47421.0,15653.0,8550.0,1327.0,2075.0,76159.0,18562.0,389,48,1266,248,703,229,362,48,1286,199,698,229,27,0,-20,49,5,0,24.0,2014-06-30,0.375
7,2014-08-31,Alabama,29.0,2014,2013,2012,4827660,20834,161835,346,1449,4645,13788,42410,108862,10563,20727,154087,276,1425,4702,13744,39723,104223,10141,107,35792,1.14,0.25,0.6,1.99,9,38.4,60.6,1139.0,61755.0,17400.0,10610.0,1688.0,2129.0,94721.0,1133.0,47421.0,15653.0,8550.0,1327.0,2075.0,76159.0,18562.0,389,48,1266,248,703,229,362,48,1286,199,698,229,27,0,-20,49,5,0,33.0,2014-07-31,-0.12121212121212122
8,2014-09-30,Alabama,24.0,2014,2013,2012,4827660,20834,161835,346,1449,4645,13788,42410,108862,10563,20727,154087,276,1425,4702,13744,39723,104223,10141,107,35792,1.14,0.25,0.6,1.99,9,38.4,60.6,1139.0,61755.0,17400.0,10610.0,1688.0,2129.0,94721.0,1133.0,47421.0,15653.0,8550.0,1327.0,2075.0,76159.0,18562.0,389,48,1266,248,703,229,362,48,1286,199,698,229,27,0,-20,49,5,0,29.0,2014-08-31,-0.1724137931034483
9,2014-10-31,Alabama,21.0,2014,2013,2012,4827660,20834,161835,346,1449,4645,13788,42410,108862,10563,20727,154087,276,1425,4702,13744,39723,104223,10141,107,35792,1.14,0.25,0.6,1.99,9,38.4,60.6,1139.0,61755.0,17400.0,10610.0,1688.0,2129.0,94721.0,1133.0,47421.0,15653.0,8550.0,1327.0,2075.0,76159.0,18562.0,389,48,1266,248,703,229,362,48,1286,199,698,229,27,0,-20,49,5,0,24.0,2014-09-30,-0.125
10,2014-11-30,Alabama,26.0,2014,2013,2012,4827660,20834,161835,346,1449,4645,13788,42410,108862,10563,20727,154087,276,1425,4702,13744,39723,104223,10141,107,35792,1.14,0.25,0.6,1.99,9,38.4,60.6,1139.0,61755.0,17400.0,10610.0,1688.0,2129.0,94721.0,1133.0,47421.0,15653.0,8550.0,1327.0,2075.0,76159.0,18562.0,389,48,1266,248,703,229,362,48,1286,199,698,229,27,0,-20,49,5,0,21.0,2014-10-31,0.23809523809523808
11,2014-12-31,Alabama,29.0,2014,2013,2012,4827660,20834,161835,346,1449,4645,13788,42410,108862,10563,20727,154087,276,1425,4702,13744,39723,104223,10141,107,35792,1.14,0.25,0.6,1.99,9,38.4,60.6,1139.0,61755.0,17400.0,10610.0,1688.0,2129.0,94721.0,1133.0,47421.0,15653.0,8550.0,1327.0,2075.0,76159.0,18562.0,389,48,1266,248,703,229,362,48,1286,199,698,229,27,0,-20,49,5,0,26.0,2014-11-30,0.11538461538461539
12,2014-01-31,Alaska,4.0,2014,2013,2012,736760,4709,21211,34,657,623,3127,2917,16599,1695,4684,20334,41,553,629,3243,3150,15445,1739,25,51463,1.07,0.52,1.17,2.75,3,40.8,54.8,317.0,3419.0,1623.0,2660.0,796.0,1185.0,10000.0,311.0,3317.0,1617.0,2085.0,508.0,1101.0,8939.0,1061.0,114,9,174,41,96,38,111,10,181,49,97,36,3,-1,-7,-8,-1,2,,,
13,2014-02-28,Alaska,2.0,2014,2013,2012,736760,4709,21211,34,657,623,3127,2917,16599,1695,4684,20334,41,553,629,3243,3150,15445,1739,25,51463,1.07,0.52,1.17,2.75,3,40.8,54.8,317.0,3419.0,1623.0,2660.0,796.0,1185.0,10000.0,311.0,3317.0,1617.0,2085.0,508.0,1101.0,8939.0,1061.0,114,9,174,41,96,38,111,10,181,49,97,36,3,-1,-7,-8,-1,2,4.0,2014-01-31,-0.5
14,2014-03-31,Alaska,4.0,2014,2013,2012,736760,4709,21211,34,657,623,3127,2917,16599,1695,4684,20334,41,553,629,3243,3150,15445,1739,25,51463,1.07,0.52,1.17,2.75,3,40.8,54.8,317.0,3419.0,1623.0,2660.0,796.0,1185.0,10000.0,311.0,3317.0,1617.0,2085.0,508.0,1101.0,8939.0,1061.0,114,9,174,41,96,38,111,10,181,49,97,36,3,-1,-7,-8,-1,2,2.0,2014-02-28,1.0
15,2014-04-30,Alaska,3.0,2014,2013,2012,736760,4709,21211,34,657,623,3127,2917,16599,1695,4684,20334,41,553,629,3243,3150,15445,1739,25,51463,1.07,0.52,1.17,2.75,3,40.8,54.8,317.0,3419.0,1623.0,2660.0,796.0,1185.0,10000.0,311.0,3317.0,1617.0,2085.0,508.0,1101.0,8939.0,1061.0,114,9,174,41,96,38,111,10,181,49,97,36,3,-1,-7,-8,-1,2,4.0,2014-03-31,-0.25
16,2014-05-31,Alaska,3.0,2014,2013,2012,736760,4709,21211,34,657,623,3127,2917,16599,1695,4684,20334,41,553,629,3243,3150,15445,1739,25,51463,1.07,0.52,1.17,2.75,3,40.8,54.8,317.0,3419.0,1623.0,2660.0,796.0,1185.0,10000.0,311.0,3317.0,1617.0,2085.0,508.0,1101.0,8939.0,1061.0,114,9,174,41,96,38,111,10,181,49,97,36,3,-1,-7,-8,-1,2,3.0,2014-04-30,0.0
17,2014-06-30,Alaska,1.0,2014,2013,2012,736760,4709,21211,34,657,623,3127,2917,16599,1695,4684,20334,41,553,629,3243,3150,15445,1739,25,51463,1.07,0.52,1.17,2.75,3,40.8,54.8,317.0,3419.0,1623.0,2660.0,796.0,1185.0,10000.0,311.0,3317.0,1617.0,2085.0,508.0,1101.0,8939.0,1061.0,114,9,174,41,96,38,111,10,181,49,97,36,3,-1,-7,-8,-1,2,3.0,2014-05-31,-0.6666666666666666
18,2014-07-31,Alaska,2.0,2014,2013,2012,736760,4709,21211,34,657,623,3127,2917,16599,1695,4684,20334,41,553,629,3243,3150,15445,1739,25,51463,1.07,0.52,1.17,2.75,3,40.8,54.8,317.0,3419.0,1623.0,2660.0,796.0,1185.0,10000.0,311.0,3317.0,1617.0,2085.0,508.0,1101.0,8939.0,1061.0,114,9,174,41,96,38,111,10,181,49,97,36,3,-1,-7,-8,-1,2,1.0,2014-06-30,1.0
19,2014-08-31,Alaska,1.0,2014,2013,2012,736760,4709,21211,34,657,623,3127,2917,16599,1695,4684,20334,41,553,629,3243,3150,15445,1739,25,51463,1.07,0.52,1.17,2.75,3,40.8,54.8,317.0,3419.0,1623.0,2660.0,796.0,1185.0,10000.0,311.0,3317.0,1617.0,2085.0,508.0,1101.0,8939.0,1061.0,114,9,174,41,96,38,111,10,181,49,97,36,3,-1,-7,-8,-1,2,2.0,2014-07-31,-0.5
