,state,latitude,longitude,n_killed,location_description
302,Illinois,38.0795,-89.383,0,Eagles Lodge
323,Washington,47.5498,-122.318,0,Magic Wheels Motorcycle Club
328,Florida,28.4532,-81.389,1,Las Palmas Apartments
381,New York,40.6838,-73.9075,1,Borinquen Memorial Funeral Home
484,New York,40.6505,-73.9573,0,Temptations Nightclub
516,Florida,28.3552,-80.6626,0,The Gun Site Range
554,Florida,28.4708,-81.3692,1,Oakridge Gun Range
594,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
626,Ohio,41.6524,-83.6647,0,Baskin-Robbins
631,Delaware,39.7844,-75.479,0,Holly Oak Methodist Church
636,North Dakota,46.8713,-96.9041,0,Stop-n-Go Convenience Store
638,Maryland,38.8507,-76.9565,0,Naylor Road Metro Station
673,New Mexico,35.6681,-105.988,0,Allsup's Convenience Store
675,Texas,33.5988,-101.86200000000001,0,Stripes
717,South Carolina,34.0447,-81.1159,0,Motel 6
818,Pennsylvania,39.7593,-77.7258,1,Mile Marker 3
843,Florida,26.6508,-80.0829,0,Club Envy
864,California,37.7759,-122.22200000000001,1,(Fruitvale)
865,New York,42.9998,-77.5056,0,Cottage Hotel
868,California,37.6939,-122.184,0,San Leandro Marina
872,Missouri,38.975,-92.3411,0,Parkade Park
944,Florida,28.5756,-81.473,1,Alta Westgate Apartments
948,South Carolina,32.4573,-80.7335,0,Sunhouse Petroleum
949,Georgia,33.6112,-84.4723,0,Rocafella’s
953,Florida,29.2012,-81.0582,1,Halifax Hospital
955,Massachusetts,41.7006,-71.1613,1,Ships Cove Apartments
972,Missouri,39.298,-94.7167,0,MCI Int'l Airport
1041,Ohio,40.96,-81.4365,0,Briarwood Estates Apts
1121,Delaware,39.8157,-75.5495,0,Concord Square Shopping Center
1129,Virginia,37.3918,-79.13,0,James Crossing Apartments
1163,New York,40.8006,-72.8713,0,KFC
1190,California,33.9309,-118.355,0,El Bodeguero Meat Market
1196,New York,40.8111,-73.1118,0,Best Express
1197,South Carolina,32.8217,-80.0363,0,Dollar General
1226,North Carolina,35.0668,-79.0127,0,Lady Dragon Tattoos
1234,New Jersey,40.2599,-74.2752,0,CVS
1242,California,34.0535,-118.225,0,La Zona Rosa
1244,Texas,32.8748,-97.0145,0,Dallas/Fort Worth International Airport
1245,North Carolina,34.9642,-78.9442,0,Kangaroo Convenience Store
1246,New Jersey,39.3676,-74.4268,1,Pennsylvania Avenue School
1272,Texas,31.3182,-95.4566,0,Crockett EZ Stop
1273,District of Columbia,38.9137,-77.0082,0,Harry Thomas Recreation Center
1296,Ohio,39.0892,-84.5994,0,Delshire Apts
1473,Iowa,41.4314,-91.041,0,Circle K
1474,Ohio,39.798,-84.2459,0,Wright-Patt Credit Union
1492,Texas,32.8748,-97.0145,0,Dallas/Fort Worth International Airport
1495,Massachusetts,42.4722,-71.1502,0,Walgreens
1500,California,37.4708,-122.20200000000001,0,We Buy Gold store
1503,Ohio,41.6167,-83.6689,0,Great Clips
1505,Texas,33.0131,-96.994,0,Wing Stop
1511,Michigan,42.4855,-83.0848,0,Victory Suites
1534,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
1535,Minnesota,44.9017,-93.0807,0,CVS Pharmacy
1639,Wisconsin,42.8134,-87.8431,0,Shooters Sports Center
1640,California,36.635999999999996,-119.556,0,Purple Plum Fruit Stand
1642,Oregon,44.5497,-123.265,0,Shell Gas Station
1646,Tennessee,36.0894,-86.6937,0,Sam's Club
1652,Texas,31.4719,-100.448,2,Richard's Lounge
1690,Ohio,39.9374,-82.8317,0,Super Eight Motel
1692,Ohio,41.6279,-83.6103,0,Dollar General
1693,Oregon,45.519,-122.561,1,Mystic Gentlemen's Club
1777,Minnesota,44.9178,-93.1873,0,Radio Shack
1778,Ohio,39.7854,-84.2107,0,Dollar General
1790,Ohio,41.6607,-83.6677,0,Subway
1792,Tennessee,35.802,-83.943,0,McDonald's
1803,Louisiana,32.3986,-91.1579,0,103 Klub
1808,Texas,32.8687,-96.911,0,7-Eleven
1927,Virginia,37.6214,-77.4258,0,Wilder Middle School
1931,Texas,32.8881,-97.0374,0,DFW Int'l Airport
1936,Texas,29.3566,-98.5311,1,Southpark Mall
1989,Arizona,32.2487,-110.851,0,Taco Bell
1996,Pennsylvania,39.9095,-79.8254,0,Footedale Market
2166,Nebraska,41.2003,-96.03200000000001,0,Tobacco & Phones 4 Less
2168,Louisiana,29.988000000000003,-90.8381,0,St James High School
2183,New Mexico,33.3943,-104.523,0,Berrendo Middle School
