,state,year,gun_deaths,population,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,assault_crime,burglary_crime,larceny_theft_crime,vehicle_theft_crime,other_crime,income,beer,wine,spirits,all,us_decile,age18longgunpossess,age18longgunsale,age21handgunpossess,age21handgunsale,age21longgunpossess,age21longgunsale,age21longgunsaled,alcoholism,alctreatment,amm18,amm21h,ammbackground,ammlicense,ammpermit,ammrecords,ammrestrict,assault,assaultlist,assaultregister,assaulttransfer,backgroundpurge,cap14,cap16,cap18,capaccess,capliability,capunloaded,capuses,ccbackground,ccbackgroundnics,ccrenewbackground,ccrevoke,college,collegeconcealed,danger,dealer,dealerh,defactoreg,defactoregh,drugmisdemeanor,dvro,dvrodating,dvroremoval,dvrosurrender,dvrosurrenderdating,dvrosurrendernoconditions,elementary,exparte,expartedating,expartesurrender,expartesurrenderdating,expartesurrendernoconditions,felony,fingerprint,gunshow,gunshowh,gvro,gvrolawenforcement,immunity,incidentall,incidentremoval,inspection,invcommitment,invoutpatient,junkgun,liability,lockd,locked,lockp,lockstandards,loststolen,magazine,magazinepreowned,mayissue,mcdv,mcdvdating,mcdvremovalallowed,mcdvremovalrequired,mcdvsurrender,mcdvsurrenderdating,mcdvsurrendernoconditions,mentalhealth,microstamp,nosyg,onefeature,onepermonth,opencarryh,opencarryl,opencarrypermith,opencarrypermitl,permit,permitconcealed,permith,permitlaw,personalized,preemption,preemptionbroad,preemptionnarrow,purge,recordsall,recordsallh,recordsdealer,recordsdealerh,registration,registrationh,reportall,reportallh,reportdealer,reportdealerh,residential,security,showing,stalking,statechecks,statechecksh,strawpurchase,strawpurchaseh,tenroundlimit,theft,threedaylimit,traffickingbackground,traffickingprohibited,traffickingprohibitedh,training,universal,universalh,universalpermit,universalpermith,violent,violenth,violentpartial,waiting,waitingh,lawtotal,democrat,republican,gun_deaths_norm,other_crime_norm
0,Alabama,2010,283.0,4779736,25886,143362,407,1385,4686,18877,34065,97574,11723,168310,33696,1.17,0.23,0.58,1.98,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,38.7,60.3,5.920829100184613,3521.324190290007
1,Alabama,2011,292.0,4798649,22957,144785,348,1449,4612,15960,35265,99182,10338,166806,34717,1.16,0.24,0.59,1.98,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,38.7,60.3,6.085046020244448,3476.103378263341
2,Alabama,2012,305.0,4813946,20727,154087,276,1425,4702,13744,39723,104223,10141,173958,35497,1.16,0.24,0.6,2.0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,38.4,60.6,6.335758647895094,3613.625911050934
3,Alabama,2013,317.0,4827660,20834,161835,346,1449,4645,13788,42410,108862,10563,181717,35792,1.14,0.25,0.6,1.99,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,38.4,60.6,6.566328200411793,3764.0803204865297
4,Alabama,2014,325.0,4840037,21693,168878,342,1296,5020,15035,47481,111523,9874,190229,36903,1.13,0.25,0.62,2.0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,38.4,60.6,6.714824700720263,3930.3211938255845
5,Alabama,2015,385.0,4850858,20166,173192,299,1370,4906,13591,51119,111411,10662,193059,38238,1.11,0.26,0.64,2.01,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,38.4,60.6,7.93674026326889,3979.893866198516
6,Alabama,2016,488.0,4860545,18363,168828,275,1355,4864,11869,42484,115564,10780,186916,38918,1.09,0.26,0.65,2.01,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,34.4,62.1,10.04002637564306,3845.5769877657754
7,Alaska,2010,30.0,710231,5966,24876,52,757,850,4011,4053,17766,3057,30494,48614,1.23,0.55,1.25,3.03,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37.9,59.4,4.223977832564335,4293.532667540561
8,Alaska,2011,19.0,722259,5391,20806,59,648,761,3671,3511,15249,2046,25886,51438,1.15,0.54,1.17,2.86,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37.9,59.4,2.630635270726983,3584.032874633615
9,Alaska,2012,17.0,730825,4684,20334,41,553,629,3243,3150,15445,1739,24759,52667,1.17,0.53,1.13,2.83,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40.8,54.8,2.3261382683953067,3387.815140423494
