,provision,without,with,diff,p_value,n_without,n_with
308,universalpermit_universalpermith,5.323426951919431,3.018724956732038,2.304701995187393,0.011095401164652177,32,12
20,age21handgunsale_universalpermith,5.317750222118893,2.9652303733787444,2.352519848740149,0.015830502531689793,30,11
303,statechecksh_universalpermit,5.323426951919431,2.971900030312482,2.3515269216069488,0.017245840282531504,32,10
302,statechecks_universalpermith,5.323426951919431,2.971900030312482,2.3515269216069488,0.017245840282531504,32,10
290,recordsdealerh_universalpermit,5.3406884242415495,3.076807758569865,2.2638806656716843,0.017400507375917352,30,11
301,statechecks_universalpermit,5.173400095976027,2.971900030312482,2.201500065663545,0.018047013348749336,38,10
19,age21handgunsale_permith,5.112488395655142,2.8209001707602006,2.2915882248949417,0.0184861207801199,34,10
258,mcdv_universalpermit,5.274781257458965,3.172809548365629,2.1019717090933363,0.018979353284940322,22,11
279,purge_universalpermith,5.323426951919431,3.037559081551547,2.2858678703678836,0.01954508341160859,32,10
135,dealerh_universalpermith,5.257948629314422,3.1141128194740073,2.1438358098404144,0.020032099595856088,29,11
300,statechecks_statechecksh,5.201628283502394,2.971900030312482,2.2297282531899123,0.021675031514027443,34,10
127,danger_universalpermit,5.294566861214681,2.9528683406090765,2.341698520605604,0.023027720710116245,21,11
238,invcommitment_universalpermit,5.294566861214681,2.9528683406090765,2.341698520605604,0.023027720710116245,21,11
304,statechecksh_universalpermith,5.323426951919431,3.4974088430495067,1.826018108869924,0.023126032162408498,32,16
259,mcdv_universalpermith,5.324912641277187,3.439567425275714,1.8853452160014732,0.02363087214187042,20,15
309,universalpermith_violentpartial,5.799107577022327,3.646645977048925,2.1524615999734023,0.02476403326950088,27,11
44,backgroundpurge_universalpermit,5.2260541992211245,3.172809548365629,2.0532446508554956,0.024856251639965365,34,11
297,reportdealerh_universalpermith,5.267140638661497,3.156702547092104,2.110438091569393,0.025199793899290827,31,11
291,recordsdealerh_universalpermith,5.535600308241611,3.657372162230297,1.8782281460113146,0.026013307914280522,28,15
265,mcdvdating_universalpermith,5.738535943096564,3.4532874559972697,2.2852484870992944,0.027009744817217737,26,10
243,invoutpatient_universalpermit,5.142108184367176,2.9262433574373152,2.215864826929861,0.027384103375023595,32,10
244,invoutpatient_universalpermith,5.319535412080091,2.9262433574373152,2.393292054642776,0.027489679065412123,26,10
275,permith_universalpermith,5.323426951919431,3.3664314983214982,1.9569954535979326,0.028346355044162455,32,13
159,dvro_universalpermit,5.125490276749609,3.172809548365629,1.9526807283839802,0.028372192980342242,23,11
239,invcommitment_universalpermith,5.67147795002785,3.380793384410175,2.2906845656176746,0.029108328706549606,17,13
128,danger_universalpermith,5.67147795002785,3.380793384410175,2.2906845656176746,0.029108328706549606,17,13
266,mcdvdating_violentpartial,5.551710478319532,3.4321060794212612,2.119604398898271,0.02975120234043883,29,11
260,mcdv_violentpartial,5.226663879450711,3.4336324576275343,1.7930314218231764,0.03010207313226979,22,15
38,backgroundpurge_purge,5.114561063493736,3.037559081551547,2.0770019819421885,0.030963480541387575,35,10
133,dealerh_recordsdealerh,5.272277796886775,3.187542687769814,2.084735109116961,0.03153738469909147,27,10
292,recordsdealerh_violentpartial,5.684617010243405,3.5533126392657506,2.131304370977654,0.03154800294998577,26,11
263,mcdvdating_recordsdealerh,5.580940858011901,3.2603657087418947,2.320575149270006,0.03216614816377819,25,10
240,invcommitment_violentpartial,5.345686663190934,3.4144821157849226,1.9312045474060113,0.033350677134955105,21,15
129,danger_violentpartial,5.345686663190934,3.4144821157849226,1.9312045474060113,0.033350677134955105,21,15
278,purge_reportdealerh,5.0268913801827635,3.037559081551547,1.9893322986312163,0.03385775841411784,38,10
295,reportallh_universalpermith,5.323426951919431,3.262656123991769,2.0607708279276618,0.034263028687039475,32,10
45,backgroundpurge_universalpermith,5.323426951919431,3.5869510603728485,1.7364758915465823,0.03501566580566055,32,15
18,age21handgunsale_mcdv,5.26866191563364,3.3370552745879873,1.9316066410456525,0.03517933204310236,21,11
277,permitlaw_universalpermith,5.323426951919431,3.3787076088210646,1.9447193430983662,0.036101146577541245,32,12
256,mcdv_statechecksh,5.324912641277187,3.4682932462673906,1.8566193950097967,0.036308611718412855,20,13
41,backgroundpurge_reportdealerh,5.078581738086901,3.037559081551547,2.0410226565353535,0.03811508936632459,33,10
307,universalh_universalpermith,5.323426951919431,3.2994326723435963,2.0239942795758346,0.03837762640845557,32,10
47,cap14_cap16,5.158553337282863,3.382437791016064,1.7761155462667992,0.03893224741331048,34,13
65,cap16_capuses,5.158553337282863,3.382437791016064,1.7761155462667992,0.03893224741331048,34,13
283,recordsallh_universalpermit,5.178418458298994,3.220355211859883,1.958063246439111,0.04051573332989974,35,10
296,reportdealerh_statechecksh,5.240309131189706,3.262656123991769,1.977653007197937,0.04087988408510521,32,10
227,invcommitment_mcdvdating,5.448657948936594,3.4058501316220156,2.0428078173145785,0.04123637357431995,19,13
116,danger_mcdvdating,5.448657948936594,3.4058501316220156,2.0428078173145785,0.04123637357431995,19,13
160,dvro_universalpermith,5.333715034857635,3.566319324971495,1.7673957098861397,0.04290787410453448,20,14
250,mcdv_permith,5.255907056263597,3.3426068678959324,1.9133001883676646,0.042921688763027294,21,11
294,reportallh_statechecksh,5.201628283502394,3.262656123991769,1.9389721595106253,0.04298638451722053,34,10
262,mcdvdating_permith,5.416211797057513,3.4532874559972697,1.9629243410602433,0.04300768449191402,31,10
288,recordsdealerh_statechecksh,5.535600308241611,3.719606404291909,1.8159939039497024,0.043320390447035464,28,13
247,mcdv_mcdvdating,5.1029992222982505,3.4800376563052384,1.6229615659930121,0.044274101267321515,23,16
13,age18longgunsale_universalpermith,4.867722317699513,3.0611584431392016,1.806563874560311,0.04480214315152641,24,11
274,permith_statechecksh,5.295702874575332,3.472203558340335,1.8234993162349968,0.04488727487364702,33,12
124,danger_statechecksh,5.67147795002785,3.4040558926975124,2.267422057330337,0.04530723470435696,17,11
235,invcommitment_statechecksh,5.67147795002785,3.4040558926975124,2.267422057330337,0.04530723470435696,17,11
85,capuses_universalpermith,5.6851885551919805,3.6885016535470765,1.996686901644904,0.04532576511610024,27,11
64,cap14_universalpermith,5.6851885551919805,3.6885016535470765,1.996686901644904,0.04532576511610024,27,11
185,dvrosurrender_universalpermith,5.570820462352784,3.62608968137197,1.944730780980814,0.04547345159482587,28,11
161,dvro_violentpartial,5.229044045427544,3.422055213025542,1.8069888324020025,0.046779168135208195,21,13
289,recordsdealerh_universalh,5.245176350443948,3.2994326723435963,1.945743678100352,0.047339361668733045,31,10
48,cap14_capuses,5.158553337282863,3.5889431037660064,1.569610233516857,0.0477805547633909,34,16
272,permith_permitlaw,5.109467395937677,3.3787076088210646,1.7307597871166123,0.047967826372876096,37,12
14,age21handgunsale_danger,5.485260386155577,3.473713255321803,2.0115471308337742,0.05062896041529086,20,11
17,age21handgunsale_invcommitment,5.485260386155577,3.473713255321803,2.0115471308337742,0.05062896041529086,20,11
79,capuses_mcdv,5.56580463200295,3.6580537203135846,1.9077509116893658,0.05097459584292644,18,11
58,cap14_mcdv,5.56580463200295,3.6580537203135846,1.9077509116893658,0.05097459584292644,18,11
46,backgroundpurge_violentpartial,5.547853177171178,3.5764968545040494,1.9713563226671287,0.05106873615342711,29,10
253,mcdv_recordsdealerh,5.350123233229654,3.6331197055076507,1.7170035277220035,0.052130072344685946,19,15
229,invcommitment_permith,5.475477275818413,3.2868625899136434,2.1886146859047697,0.05337889065423102,19,10
118,danger_permith,5.475477275818413,3.2868625899136434,2.1886146859047697,0.05337889065423102,19,10
57,cap14_invcommitment,5.645459777848072,3.4969867330982183,2.1484730447498537,0.054314593885721275,17,11
70,capuses_danger,5.645459777848072,3.4969867330982183,2.1484730447498537,0.054314593885721275,17,11
49,cap14_danger,5.645459777848072,3.4969867330982183,2.1484730447498537,0.054314593885721275,17,11
78,capuses_invcommitment,5.645459777848072,3.4969867330982183,2.1484730447498537,0.054314593885721275,17,11
35,backgroundpurge_mcdv,5.134383203538394,3.4044100820799414,1.7299731214584524,0.05435750084791466,21,13
251,mcdv_permitlaw,5.255907056263597,3.3549557374528556,1.9009513188107414,0.05486196838992132,21,10
12,age18longgunsale_statechecksh,4.74350133855569,3.0611584431392016,1.6823428954164887,0.05495264804212124,26,11
299,stalking_violentpartial,5.479736901539023,3.6129836993391375,1.8667532021998854,0.055086512901364,29,11
43,backgroundpurge_statechecksh,5.323426951919431,3.638351286764084,1.6850756651553467,0.055089856072195104,32,13
147,dvro_mcdvdating,5.189802449389258,3.3555483895554534,1.8342540598338042,0.05659250957227967,20,12
284,recordsallh_universalpermith,5.323426951919431,3.6575469019402362,1.6658800499791946,0.05662405793332713,32,13
232,invcommitment_recordsdealerh,5.571033264712618,3.570853567473765,2.000179697238853,0.05668527192882707,17,14
121,danger_recordsdealerh,5.571033264712618,3.570853567473765,2.000179697238853,0.05668527192882707,17,14
15,age21handgunsale_dvro,5.214045039040544,3.371956491086906,1.8420885479536375,0.056830994835049234,21,10
276,permitlaw_statechecksh,5.295702874575332,3.4952113207052107,1.800491553870121,0.057592140168172885,33,11
293,reportallh_reportdealerh,5.0268913801827635,3.262656123991769,1.7642352561909944,0.05870446184039583,38,10
298,stalking_universalpermith,5.634200274085013,3.775566816862619,1.8586334572223944,0.05873768352830623,27,11
40,backgroundpurge_recordsdealerh,5.447753508288411,3.7837423678610955,1.6640111404273155,0.059816252333877995,29,13
273,permith_recordsdealerh,5.535600308241611,3.6159951245182187,1.9196051837233927,0.06128248757081989,28,10
271,opencarrypermith_violentpartial,5.321609838791606,3.3368527855612777,1.9847570532303287,0.06314515256061949,25,10
63,cap14_statechecksh,5.557044920295676,3.6164985789453654,1.940546341350311,0.06361613287095039,28,10
84,capuses_statechecksh,5.557044920295676,3.6164985789453654,1.940546341350311,0.06361613287095039,28,10
52,cap14_dvrosurrender,5.332292749716347,3.530149548591679,1.8021432011246676,0.06382268742753992,30,11
73,capuses_dvrosurrender,5.332292749716347,3.530149548591679,1.8021432011246676,0.06382268742753992,30,11
28,backgroundpurge_danger,5.52239823667068,3.479852940552006,2.0425452961186745,0.06395889324312341,18,11
34,backgroundpurge_invcommitment,5.52239823667068,3.479852940552006,2.0425452961186745,0.06395889324312341,18,11
286,recordsdealerh_reportdealerh,5.3406884242415495,3.582928776764778,1.7577596474767714,0.06489385933730915,30,11
264,mcdvdating_stalking,5.35959801292209,3.6176774839406853,1.7419205289814048,0.06561662925476484,30,12
156,dvro_statechecksh,5.333715034857635,3.6185642809951077,1.715150753862527,0.06631650831692855,20,12
242,invoutpatient_recordsdealerh,5.409888545712898,3.3950922100772565,2.014796335635641,0.0676535691463048,25,10
66,cap16_dvro,5.125490276749609,3.553991402870525,1.5714988738790843,0.06871543834173123,23,12
125,danger_traffickingprohibited,5.316999634566399,3.4001215078107183,1.9168781267556803,0.06879143314787982,20,11
236,invcommitment_traffickingprohibited,5.316999634566399,3.4001215078107183,1.9168781267556803,0.06879143314787982,20,11
36,backgroundpurge_permith,5.293872717088468,3.5865247199834673,1.7073479971050007,0.06982139149573877,33,11
254,mcdv_reportdealerh,5.158781216221271,3.446930484085154,1.7118507321361176,0.06998144925799572,22,11
180,dvrosurrender_mcdvsurrender,5.123884997492364,3.360484426760533,1.7634005707318305,0.07002115942517897,34,10
126,danger_traffickingprohibitedh,5.390051903010574,3.4001215078107183,1.9899303951998553,0.07005246540647034,18,11
237,invcommitment_traffickingprohibitedh,5.390051903010574,3.4001215078107183,1.9899303951998553,0.07005246540647034,18,11
280,recordsallh_recordsdealerh,5.245176350443948,3.6575469019402362,1.5876294485037121,0.07044716321659057,31,13
69,cap16_opencarrypermith,5.070742834045964,3.239390889296133,1.831351944749831,0.07083509405540774,28,10
60,cap14_permith,5.41265128319005,3.6164985789453654,1.796152704244685,0.07197989394408437,31,10
81,capuses_permith,5.41265128319005,3.6164985789453654,1.796152704244685,0.07197989394408437,31,10
287,recordsdealerh_stalking,5.541534231491539,3.7488102910575303,1.792723940434009,0.07236441921069818,26,11
282,recordsallh_universalh,5.007183605477039,3.2994326723435963,1.7077509331334424,0.07268672114919145,37,10
179,dvrosurrender_mcdv,5.317709460949798,3.603240259730972,1.7144692012188263,0.07306790776775404,20,12
234,invcommitment_stalking,5.408915600279446,3.6613718947947516,1.7475437054846945,0.07492506609843613,19,13
123,danger_stalking,5.408915600279446,3.6613718947947516,1.7475437054846945,0.07492506609843613,19,13
181,dvrosurrender_permith,5.34188926250205,3.6143838761007054,1.727505386401345,0.07515023331519607,32,10
285,recordsdealer_recordsdealerh,5.245176350443948,3.5298733195046945,1.7153030309392538,0.07522132627695494,31,11
233,invcommitment_reportdealerh,5.288250307790529,3.446930484085154,1.841319823705375,0.07549127263032698,21,11
122,danger_reportdealerh,5.288250307790529,3.446930484085154,1.841319823705375,0.07549127263032698,21,11
257,mcdv_traffickingprohibitedh,5.428224737751811,3.564851731799331,1.86337300595248,0.07569185723387656,18,10
306,traffickingprohibited_traffickingprohibitedh,5.071555685044371,3.537722747244835,1.5338329377995357,0.07573991477776039,35,13
248,mcdv_mcdvsurrender,5.1029992222982505,3.4502710427366368,1.6527281795616138,0.07658266528861028,23,11
184,dvrosurrender_statechecksh,5.530741563635936,3.778981971699621,1.751759591936315,0.07781399328096435,29,10
31,backgroundpurge_dvrosurrender,5.311062829249579,3.62608968137197,1.684973147877609,0.078088436087844,31,11
223,gunshowh_universalh,4.934603126088547,3.2994326723435963,1.6351704537449505,0.07880379917752166,39,10
178,dvrosurrender_invcommitment,5.654491839330134,3.7368615726349974,1.917630266695137,0.0798971221165703,18,11
110,danger_dvrosurrender,5.654491839330134,3.7368615726349974,1.917630266695137,0.0798971221165703,18,11
150,dvro_permith,5.222646966165555,3.5865247199834673,1.6361222461820875,0.07995974942302043,22,11
224,gunshowh_universalpermith,5.323426951919431,3.669489200947289,1.6539377509721418,0.08122595406477212,32,11
183,dvrosurrender_stalking,5.312746401370535,3.526690856912267,1.786055544458268,0.08183820412163487,29,10
50,cap14_dvro,5.125490276749609,3.739953014099571,1.385537262650038,0.08301573031861913,23,15
71,capuses_dvro,5.125490276749609,3.739953014099571,1.385537262650038,0.08301573031861913,23,15
255,mcdv_stalking,5.160156327712694,3.727463142895648,1.432693184817046,0.08339847372205961,22,15
67,cap16_dvrodating,4.964677832049741,3.4365441309332705,1.5281337011164706,0.0837662999109072,32,11
82,capuses_recordsdealerh,5.839247666532239,4.080381445979968,1.758866220552271,0.08412307484511164,25,10
61,cap14_recordsdealerh,5.839247666532239,4.080381445979968,1.758866220552271,0.08412307484511164,25,10
153,dvro_recordsdealerh,5.378842572704576,3.905347793613275,1.4734947790913009,0.0843919546615605,20,15
3,age18longgunsale_capuses,4.7967024268519545,3.3200472128816405,1.476655213970314,0.08494114884611867,26,11
2,age18longgunsale_cap14,4.7967024268519545,3.3200472128816405,1.476655213970314,0.08494114884611867,26,11
174,dvrosurrender_dvrosurrenderdating,5.101720774778229,3.517546438701943,1.5841743360762863,0.08634846397139273,35,11
29,backgroundpurge_dvro,5.014533715565727,3.566319324971495,1.4482143905942317,0.08651161737790114,23,14
246,lockd_universalpermith,5.323426951919431,3.619933052007841,1.7034938999115896,0.08730226959459343,32,10
11,age18longgunsale_recordsdealerh,4.968474377177762,3.3903039145313043,1.578170462646458,0.08880113130439464,22,10
37,backgroundpurge_permitlaw,5.293872717088468,3.6232653747491446,1.6706073423393235,0.09020780928501675,33,10
62,cap14_stalking,5.456299394154287,3.7143059615317866,1.7419934326225008,0.09077596422039094,28,10
83,capuses_stalking,5.456299394154287,3.7143059615317866,1.7419934326225008,0.09077596422039094,28,10
281,recordsallh_statechecksh,5.323426951919431,3.731128231596675,1.5922987203227557,0.0911997712014364,32,11
173,dvrodating_violentpartial,5.240037403154292,3.709868350208822,1.5301690529454701,0.09251076755310067,29,11
154,dvro_reportdealerh,5.04482446615973,3.3568098122439025,1.6880146539158272,0.09307875680721374,22,10
134,dealerh_stalking,5.25603559825665,3.674904809195882,1.5811307890607682,0.09325724659160288,30,10
216,felony_universalpermit,5.226523144059299,3.159297187321084,2.067225956738215,0.09350324744822112,11,10
