,provision,without,with,diff,p_value,n_without
31,nosyg,6.024714638793394,3.4666345341573503,2.5580801046360433,0.0008925944452240709,25
24,immunity,5.629389307359144,3.0302283635833436,2.5991609437758005,0.0014546003011487669,33
47,violentpartial,5.359421550132803,3.4414622887033306,1.917959261429472,0.02418737763545772,34
41,statechecksh,5.33647030975829,3.4902336744991707,1.8462366352591197,0.03035376233251143,34
34,permith,5.251170772193299,3.306954673278196,1.9442160989151027,0.032097658086602046,37
29,mcdvdating,5.34905507818255,3.5744065731614385,1.7746485050211116,0.034754325699092405,33
2,age21handgunsale,5.243665391371288,3.3283161417716105,1.9153492495996778,0.03487412375216584,37
35,permitlaw,5.207697643158519,3.282601573645408,1.9250960695131107,0.039150671128164595,38
6,cap16,5.2186268822877535,3.3995795907016704,1.8190472915860831,0.04560780988433275,37
5,cap14,5.28632037816666,3.5968022791313845,1.6895180990352752,0.048441977252239976,34
7,capuses,5.28632037816666,3.5968022791313845,1.6895180990352752,0.048441977252239976,34
18,dvrosurrender,5.278777229294268,3.612831470485218,1.66594575880905,0.05179906036344834,34
30,mcdvsurrender,5.16546022668842,3.4163533924673852,1.7491068342210352,0.06196465647589334,38
46,universalpermith,5.330041014829167,3.7922346244244425,1.5378063904047243,0.06217644522844507,31
45,universalpermit,5.187620008862822,3.4878299227572436,1.6997900861055788,0.06248382027365499,37
19,dvrosurrenderdating,5.151596809008319,3.4602542151210387,1.69134259388728,0.07143462256837743,38
4,backgroundpurge,5.2089986686353456,3.6645850614354347,1.5444136071999108,0.07756052919628306,35
38,recordsdealerh,5.268533448012544,3.8925890755462995,1.3759443724662446,0.09640714124003287,31
40,stalking,5.20262305678176,3.7746590870742978,1.427963969707462,0.09731088902288985,34
39,reportdealerh,5.118851769415388,3.5639468404986565,1.5549049289167312,0.09836915075206915,38
0,age18longgunpossess,5.1118353114398385,3.586165624087894,1.5256696873519444,0.10504982492450618,38
43,traffickingprohibitedh,5.165553536896286,3.7659570354932423,1.3995965014030434,0.11076869647599939,35
42,traffickingprohibited,5.117487972562604,3.687436487611711,1.4300514849508934,0.11905594262995918,37
20,dvrosurrendernoconditions,5.134476806768758,3.7458974485780923,1.3885793581906656,0.12136625082266103,36
11,ccrevoke,3.75278394639959,5.094528054610106,-1.3417441082105164,0.14422944611070557,13
27,invoutpatient,5.1467144578936175,3.8934648597115986,1.2532495981820189,0.1469845809368889,34
8,ccbackground,3.19823510187677,4.917612306986328,-1.719377205109558,0.2018059773443395,5
15,dealerh,5.059543909180672,3.93858204237603,1.1209618668046417,0.21314394700634304,36
36,recordsallh,5.038202210559057,3.913095964083345,1.1251062464757124,0.2223374892973954,37
32,opencarrypermith,5.115271417859967,4.14264817737419,0.9726232404857766,0.2433702869010256,31
