state,year,population,index,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,assault_crime,burglary_crime,larceny_theft_crime,vehicle_theft_crime
Alaska,2016,714146,24796,4537,20259,31,533,594,3379,3105,15535,1619
Alaska,2015,723860,23510,4416,19094,30,436,576,3374,2852,14854,1388
Alaska,2014,730307,24449,4412,20037,30,583,630,3169,2950,15565,1522
Alaska,2013,737259,25920,4709,21211,34,657,623,3127,2917,16599,1695
Alaska,2012,737046,25018,4684,20334,41,553,629,3243,3150,15445,1739
Alaska,2011,737709,26197,5391,20806,59,648,761,3671,3511,15249,2046
Alaska,2010,741894,30842,5966,24876,52,757,850,4011,4053,17766,3057
Alabama,2016,4785401,187191,18363,168828,275,1355,4864,11869,42484,115564,10780
Alabama,2015,4803689,193358,20166,173192,299,1370,4906,13591,51119,111411,10662
Alabama,2014,4817528,190571,21693,168878,342,1296,5020,15035,47481,111523,9874
Alabama,2013,4833996,182669,20834,161835,346,1449,4645,13788,42410,108862,10563
Alabama,2012,4846411,174814,20727,154087,276,1425,4702,13744,39723,104223,10141
Alabama,2011,4853875,167742,22957,144785,348,1449,4612,15960,35265,99182,10338
Alabama,2010,4863300,169248,25886,143362,407,1385,4686,18877,34065,97574,11723
Arizona,2016,6413158,253330,26528,226802,408,2191,6953,16976,50932,154137,21733
Arizona,2015,6467315,256685,26789,229896,397,2499,7145,16748,54695,155400,19801
Arizona,2014,6551149,259778,28077,231701,358,2282,7383,18054,52911,159808,18982
Arizona,2013,6634997,250870,27576,223294,355,2344,6656,17391,48292,158036,16966
Arizona,2012,6728783,239828,26422,213406,311,2356,6225,16614,43412,152683,17311
Arizona,2011,6817565,235152,27968,207184,306,2268,6360,18193,38010,152388,16786
Arizona,2010,6931071,239015,32583,206432,380,2452,7055,21858,37736,150275,18421
Arkansas,2016,2921588,118531,14711,103820,134,1321,2369,10887,32463,65796,5561
Arkansas,2015,2938582,124603,14173,110430,160,1230,2357,10426,34016,70645,5769
Arkansas,2014,2949828,123240,13851,109389,174,1233,2310,10134,32673,70982,5734
Arkansas,2013,2958765,120182,13705,106477,158,1135,2261,9796,30369,70430,5678
Arkansas,2012,2966835,113700,14248,99452,175,1291,2037,10220,24816,69001,5635
Arkansas,2011,2977853,113160,15769,97391,189,1425,2117,11455,22851,68720,5820
Arkansas,2010,2988248,114134,16461,97673,216,1545,2120,11982,23771,66747,7155
California,2016,37338198,1146072,164133,981939,1809,8331,58116,95877,228857,600558,152524
California,2015,37683933,1128765,154943,973822,1792,7665,54291,91195,230075,596905,146842
California,2014,37999878,1210409,160944,1049465,1884,7837,56521,94702,245767,635090,168608
California,2013,38431393,1173646,154739,1018907,1746,7464,53640,89029,232058,621557,165292
California,2012,38792291,1100956,153763,947193,1700,8389,48681,91804,202669,592673,151851
California,2011,38993940,1191797,166883,1024914,1861,9341,52862,99349,197404,656517,170993
California,2010,39250017,1176866,174796,1002070,1930,10149,54789,104375,188304,637010,176756
Colorado,2016,5047692,151340,16339,135001,129,2230,3164,10816,26196,97534,11271
Colorado,2015,5116302,148866,16085,132781,155,2285,3299,10346,25725,96054,11002
Colorado,2014,5189458,155306,15951,139355,152,2122,3392,10285,26163,101091,12101
Colorado,2013,5272086,156073,16099,139974,174,2198,3136,9826,25075,102375,12524
Colorado,2012,5355588,152276,16487,135789,150,2236,3037,10211,23502,99688,12599
Colorado,2011,5448819,161392,17348,144044,173,2422,3315,10532,23490,104532,16022
Colorado,2010,5540545,170833,18983,151850,204,2619,3528,11696,23903,108336,19611
Connecticut,2016,3575498,88342,10083,78259,133,595,3553,5802,15145,56413,6701
Connecticut,2015,3586717,87094,9889,77205,129,689,3689,5382,15468,55067,6670
Connecticut,2014,3591765,87352,10183,77169,117,933,3709,5424,14787,55904,6478
Connecticut,2013,3599341,80713,9439,71274,91,647,3551,4906,12934,52099,6241
Connecticut,2012,3594762,77901,8575,69326,89,579,3172,4520,12017,51195,6114
Connecticut,2011,3584730,73548,7938,65610,116,585,2925,4099,10286,48898,6426
Connecticut,2010,3576452,72787,8123,64664,78,561,2703,4579,10045,47512,7107
Delaware,2016,899792,36686,5608,31078,51,326,1839,3392,7550,21593,1935
Delaware,2015,908137,36307,5144,31163,48,307,1558,3231,7617,22001,1545
Delaware,2014,917053,35755,5048,30707,56,249,1498,3245,7389,21880,1438
Delaware,2013,925240,33634,4633,29001,41,278,1233,2960,6299,21347,1355
Delaware,2012,935968,32483,4568,27915,50,274,1271,2857,5765,20885,1265
Delaware,2011,944076,30305,4760,25545,62,257,1240,3097,4797,19555,1193
Delaware,2010,952065,31178,4844,26334,56,221,1359,3121,5023,19791,1520
District Of Columbia,2016,604912,36828,8026,28802,132,187,4325,3382,4233,19514,5055
District Of Columbia,2015,619020,37087,7433,29654,108,173,4094,3058,3850,21347,4457
District Of Columbia,2014,633427,38623,7866,30757,88,236,4037,3505,3519,23575,3663
District Of Columbia,2013,649111,39512,8415,31097,103,297,4082,3835,3316,24547,3234
District Of Columbia,2012,659836,42346,8199,34147,105,349,3497,4125,3466,26898,3783
District Of Columbia,2011,670377,39982,8538,31444,162,365,3746,4136,2971,25208,3265
District Of Columbia,2010,681170,40930,8214,32716,139,401,3480,4063,2361,27382,2973
Florida,2016,18838613,771004,101969,669035,987,5373,26086,69523,169119,458454,41462
Florida,2015,19082262,769398,98198,671200,984,5273,25622,66319,170171,461408,39621
Florida,2014,19320749,727075,94087,632988,1009,5260,23889,63929,153563,442095,37330
Florida,2013,19600311,699163,91993,607170,972,4765,23200,61054,138915,433344,34911
Florida,2012,19905569,675119,91345,583774,982,5038,21621,61610,121379,426197,36198
