State, Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft
Alabama, 2010,   4785401,      18363,         275,       1355,,       4864,      11869,     168828,      42484,     115564,      10780
Alabama, 2011,   4803689,      20166,         299,       1370,,       4906,      13591,     173192,      51119,     111411,      10662
Alabama, 2012,   4817528,      21693,         342,       1296,,       5020,      15035,     168878,      47481,     111523,       9874 
Alabama, 2013,   4833996,      20834,         346,       1449,       2055,       4645,      13788,     161835,      42410,     108862,      10563 
Alabama, 2014,   4849377,      20727,         276,       1436,       2005,       4701,      13745,     154094,      39715,     104238,      10141 
Alaska, 2010,     714146,       4537,          31,         533,,         594,       3379,      20259,       3105,      15535,       1619
Alaska, 2011,     723860,       4416,          30,         436,,         576,       3374,      19094,       2852,      14854,       1388
Alaska, 2012,     730307,       4412,          30,         583,,         630,       3169,      20037,       2950,      15565,       1522 
Alaska, 2013,     737259,       4709,          34,         657,         925,         623,       3127,      21211,       2917,      16599,       1695 
Alaska, 2014,     736732,       4684,          41,         555,         771,         629,       3243,      20334,       3150,      15445,       1739 
Arizona, 2010,   6413158,      26528,         408,       2191,,       6953,      16976,     226802,      50932,     154137,      21733
Arizona, 2011,   6467315,      26789,         397,       2499,,       7145,      16748,     229896,      54695,     155400,      19801
Arizona, 2012,   6551149,      28077,         358,       2282,,       7383,      18054,     231701,      52911,     159808,      18982 
Arizona, 2013,   6634997,      27576,         355,       2344,       3174,       6656,      17391,     223294,      48292,     158036,      16966 
Arizona, 2014,   6731484,      26916,         319,       2464,       3378,       6249,      16970,     215240,      43562,     154091,      17587 
Arkansas, 2010,   2921588,      14711,         134,       1321,,       2369,      10887,     103820,      32463,      65796,       5561
Arkansas, 2011,   2938582,      14173,         160,       1230,,       2357,      10426,     110430,      34016,      70645,       5769
Arkansas, 2012,   2949828,      13851,         174,       1233,,       2310,      10134,     109389,      32673,      70982,       5734 
Arkansas, 2013,   2958765,      13705,         158,       1135,       1490,       2261,       9796,     106477,      30369,      70430,       5678 
Arkansas, 2014,   2966369,      14243,         165,       1182,       1763,       2050,      10265,      99018,      24790,      68627,       5601 
California, 2010,  37338198,     164133,       1809,       8331,,      58116,      95877,     981939,     228857,     600558,     152524
California, 2011,  37683933,     154943,       1792,       7665,,      54291,      91195,     973822,     230075,     596905,     146842
California, 2012,  37999878,     160944,       1884,       7837,,      56521,      94702,   1049465,     245767,     635090,     168608 
California, 2013,  38431393,     154739,       1746,       7464,      10324,      53640,      89029,   1018907,     232058,     621557,     165292 
California, 2014,  38802500,     153709,       1699,       8398,      11527,      48680,      91803,     947192,     202670,     592670,     151852 
Colorado, 2010,   5047692,      16339,         129,       2230,,       3164,      10816,     135001,      26196,      97534,      11271
Colorado, 2011,   5116302,      16085,         155,       2285,,       3299,      10346,     132781,      25725,      96054,      11002
Colorado, 2012,   5189458,      15951,         152,       2122,,       3392,      10285,     139355,      26163,     101091,      12101 
Colorado, 2013,   5272086,      16099,         174,       2198,       2963,       3136,       9826,     139974,      25075,     102375,      12524 
Colorado, 2014,   5355866,      16554,         151,       2121,       3039,       3039,      10325,     135510,      23472,      99464,      12574 
Connecticut, 2010,   3575498,      10083,         133,         595,,       3553,       5802,      78259,      15145,      56413,       6701
Connecticut, 2011,   3586717,       9889,         129,         689,,       3689,       5382,      77205,      15468,      55067,       6670
Connecticut, 2012,   3591765,      10183,         117,         933,,       3709,       5424,      77169,      14787,      55904,       6478 
Connecticut, 2013,   3599341,       9439,          91,         647,         891,       3551,       4906,      71274,      12934,      52099,       6241 
Connecticut, 2014,   3596677,       8522,          86,         571,         782,       3159,       4495,      69070,      11955,      51005,       6110 
Delaware, 2010,     899792,       5608,          51,         326,,       1839,       3392,      31078,       7550,      21593,       1935
Delaware, 2011,     908137,       5144,          48,         307,,       1558,       3231,      31163,       7617,      22001,       1545
Delaware, 2012,     917053,       5048,          56,         249,,       1498,       3245,      30707,       7389,      21880,       1438 
Delaware, 2013,     925240,       4633,          41,         278,         399,       1233,       2960,      29001,       6299,      21347,       1355 
Delaware, 2014,     935614,       4576,          54,         249,         386,       1269,       2867,      27900,       5768,      20865,       1267 
District of Columbia, 2010,     604912,       8026,         132,         187,,       4325,       3382,      28802,       4233,      19514,       5055
District of Columbia, 2011,     619020,       7433,         108,         173,,       4094,       3058,      29654,       3850,      21347,       4457
District of Columbia, 2012,     633427,       7866,          88,         236,,       4037,       3505,      30757,       3519,      23575,       3663 
District of Columbia, 2013,     649111,       8415,         103,         297,         395,       4082,       3835,      31097,       3316,      24547,       3234 
District of Columbia, 2014,     658893,       8199,         105,         352,         472,       3497,       4125,      34147,       3466,      26898,       3783 
Florida, 2010,  18838613,     101969,         987,       5373,,      26086,      69523,     669035,     169119,     458454,      41462
Florida, 2011,  19082262,      98198,         984,       5273,,      25622,      66319,     671200,     170171,     461408,      39621
Florida, 2012,  19320749,      94087,       1009,       5260,,      23889,      63929,     632988,     153563,     442095,      37330 
Florida, 2013,  19600311,      91993,         972,       4765,       6767,      23200,      61054,     607170,     138915,     433344,      34911 
Florida, 2014,  19893297,     107521,       1149,       6051,       8563,      24914,      72895,     679446,     143220,     493647,      42579 
Georgia, 2010,   9712157,      39068,         555,       2107,,      12372,      24034,     353449,      96947,     226161,      30341
Georgia, 2011,   9812460,      36762,         549,       2066,,      12266,      21881,     357235,      96014,     231543,      29678
Georgia, 2012,   9915646,      37675,         583,       2143,,      12502,      22447,     339473,      86992,     223875,      28606 
Georgia, 2013,   9994759,      37519,         563,       2022,       2891,      12704,      21361,     339808,      83459,     229190,      27159 
Georgia, 2014,  10097343,      38097,         580,       2159,       3048,      12417,      22052,     331316,      76428,     228034,      26854 
Hawaii, 2010,   1363359,       3603,          25,         377,,       1065,       2136,      45667,       8706,      31681,       5280
Hawaii, 2011,   1378129,       3465,          20,         353,,         994,       2098,      43874,       8165,      31240,       446 
Hawaii, 2012,   1390090,       3378,          21,         279,,       1125,       1953,      43419,       7653,      31901,       3865 
Hawaii, 2013,   1408987,       3585,          32,         366,         508,         934,       2111,      45266,       7777,      32928,       4561 
Hawaii, 2014,   1419561,       3680,          26,         314,         445,       1107,       2102,      43297,       7778,      31640,       3879 
Idaho, 2010,   1571102,       3464,          22,         533,,         213,       2696,      31436,       6513,      23594,       1329
Idaho, 2011,   1583744,       3202,          35,         444,,         188,       2535,      32875,       6915,      24629,       1331
