State,2012_budget,2012_2013_est,2012_2014_est,2013_budget,2013_2014_est,2013_2015_est,2014_budget,2014_2015_est,2014_2016_est,2015_budget,2015_2016_est,2015_2017_est
Alabama,"2,845,395,628","2,876,797,986","2,989,447,294","2,883,319,880","2,887,043,415","2,939,262,877","2,875,991,324","2,929,283,305","3,053,932,288","2,729,781,358","2,777,873,024","2,903,257,934"
Alaska,"449,975,869","434,677,100","446,651,559","443,908,978","452,234,374","455,193,036","425,276,011","445,792,878","456,635,005","415,238,724","442,445,026","458,773,172"
Arizona,"8,049,933,183","8,012,707,409","8,373,784,324","8,189,692,878","8,130,405,015","8,292,016,506","7,477,469,186","7,641,077,155","7,981,741,082","6,241,051,368","6,350,539,683","6,659,309,114"
Arkansas,"1,423,047,882","1,420,856,746","1,466,636,709","1,412,106,992","1,420,914,404","1,444,961,075","1,405,013,760","1,419,774,860","1,464,872,811","1,334,963,163","1,349,409,058","1,396,218,886"
California,"17,137,369,513","17,162,850,119","17,861,827,213","15,768,503,224","15,969,544,430","16,282,749,178","16,816,137,363","17,088,237,034","17,803,268,621","16,727,837,255","16,973,949,402","17,815,299,086"
Colorado,"3,115,240,593","3,111,966,725","3,253,790,018","3,062,212,570","3,078,765,808","3,138,165,604","2,965,284,074","3,027,497,764","3,158,166,524","2,780,371,880","2,821,226,543","2,956,601,262"
Connecticut,"1,673,317,098","1,693,397,643","1,769,289,786","1,579,567,773","1,580,451,859","1,607,095,311","1,656,657,510","1,689,404,269","1,751,745,595","1,711,664,971","1,737,793,180","1,812,274,244"
Delaware,"494,678,457","487,368,219","502,327,683","502,047,740","499,905,603","507,623,102","494,499,654","502,781,642","521,825,598","407,209,807","413,471,485","428,773,254"
District of Columbia,"1,825,907,540","1,860,929,079","1,967,721,312","1,861,968,103","1,847,946,825","1,888,860,469","1,781,215,703","1,832,837,904","1,923,544,302","1,667,518,726","1,692,720,160","1,773,699,084"
Florida,"10,068,664,972","10,084,501,797","10,533,738,943","10,071,335,584","10,161,936,866","10,361,362,998","9,992,845,894","10,166,202,212","10,623,522,908","8,838,564,032","8,964,002,542","9,403,722,102"
Georgia,"5,345,573,841","5,398,933,530","5,607,221,983","5,245,788,392","5,273,383,538","5,370,897,346","5,183,160,670","5,284,301,567","5,540,462,845","5,116,975,414","5,211,385,809","5,471,857,449"
Hawaii,"520,666,928","526,752,124","547,064,995","509,054,102","510,356,315","517,673,050","494,017,469","499,998,285","517,621,125","451,957,657","466,122,401","485,163,362"
Idaho,"792,902,932","790,756,732","819,985,205","759,674,747","764,953,875","776,850,040","743,821,754","753,192,367","782,420,357","679,872,934","687,456,360","720,105,783"
