,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Alabama,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4779736,4798649,4813946,4827660,4840037,4850858,4860545,4874747
Alaska,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,710231,722259,730825,736760,736759,737979,741522,739795
Arizona,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6392017,6465488,6544211,6616124,6706435,6802262,6908642,7016270
Arkansas,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2915918,2938640,2949208,2956780,2964800,2975626,2988231,3004279
California,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37253956,37672654,38019006,38347383,38701278,39032444,39296476,39536653
Colorado,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5029196,5116411,5186330,5262556,5342311,5440445,5530105,5607154
Connecticut,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3574097,3591927,3597705,3602470,3600188,3593862,3587685,3588184
Delaware,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,897934,907884,916868,925114,934805,944107,952698,961939
District of Columbia,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,601723,620336,635630,650114,660797,672736,684336,693972
Florida,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18801310,19097369,19341327,19584927,19897747,20268567,20656589,20984400
Georgia,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9687653,9810595,9911171,9981773,10083850,10199533,10313620,10429379
Hawaii,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1360301,1378323,1392772,1408038,1417710,1426320,1428683,1427538
Idaho,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1567582,1583180,1594673,1610187,1630391,1649324,1680026,1716943
Illinois,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12830632,12862298,12878494,12890403,12882438,12862051,12835726,12802023
Indiana,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6483802,6515358,6535665,6567484,6593182,6610596,6634007,6666818
Iowa,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3046355,3063690,3074386,3089876,3105563,3118473,3130869,3145711
Kansas,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2853118,2868756,2885316,2892900,2899553,2905789,2907731,2913123
Kentucky,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4339367,4368505,4383673,4399121,4410415,4422057,4436113,4454189
Louisiana,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4533372,4574388,4602681,4626795,4648797,4671211,4686157,4684333
Maine,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1328361,1327968,1328101,1327975,1328903,1327787,1330232,1335907
Maryland,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5773552,5843115,5891680,5932654,5970245,6000561,6024752,6052177
Massachusetts,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6547629,6612178,6659627,6711138,6757925,6794002,6823721,6859819
Michigan,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9883640,9876199,9886610,9899219,9914675,9918170,9933445,9962311
Minnesota,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5303925,5345967,5377695,5416074,5452649,5483238,5525050,5576606
Mississippi,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2967297,2977452,2982963,2987721,2988578,2985297,2985415,2984100
Missouri,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5988927,6010280,6023267,6041142,6058014,6072640,6091176,6113532
Montana,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,989415,996866,1003522,1011921,1019931,1028317,1038656,1050493
Nebraska,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1826341,1841641,1854862,1867414,1880920,1893564,1907603,1920076
Nevada,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2700551,2718170,2752410,2786547,2831730,2883057,2939254,2998039
New Hampshire,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316470,1318345,1320923,1322622,1328684,1330134,1335015,1342795
New Jersey,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8791894,8844694,8882095,8913735,8943010,8960001,8978416,9005644
New Mexico,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2059179,2077744,2083590,2085161,2083207,2082264,2085432,2088070
New York,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19378102,19526372,19625409,19712514,19773580,19819347,19836286,19849399
North Carolina,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9535483,9662940,9755299,9849812,9941160,10041769,10156689,10273419
