subcategory,provision,category
Licensing,dealer,Dealer regulations
Licensing,dealerh,Dealer regulations
Recordkeeping,recordsdealer,Dealer regulations
Recordkeeping,recordsdealerh,Dealer regulations
Recordkeeping,recordsall,Dealer regulations
Recordkeeping,recordsallh,Dealer regulations
Reporting,reportdealer,Dealer regulations
Reporting,reportdealerh,Dealer regulations
Reporting,reportall,Dealer regulations
Reporting,reportallh,Dealer regulations
Reporting,purge,Dealer regulations
Other,residential,Dealer regulations
Reporting,theft,Dealer regulations
Other,security,Dealer regulations
Other,inspection,Dealer regulations
Liability,liability,Dealer regulations
Other,junkgun,Dealer regulations
Waiting period,waiting,Buyer regulations
Waiting period,waitingh,Buyer regulations
Permitting,permit,Buyer regulations
Permitting,permith,Buyer regulations
Permitting,permitlaw,Buyer regulations
Crime gun identification,fingerprint,Buyer regulations
Other,training,Buyer regulations
Registration,registration,Buyer regulations
Registration,registrationh,Buyer regulations
Registration,defactoreg,Buyer regulations
Registration,defactoregh,Buyer regulations
Age restrictions,age21handgunsale,Buyer regulations
Age restrictions,age18longgunsale,Buyer regulations
Age restrictions,age21longgunsaled,Buyer regulations
Age restrictions,age21longgunsale,Buyer regulations
Reporting,loststolen,Buyer regulations
Other,onepermonth,Buyer regulations
Violent Misdemeanor or Felony,felony,Prohibitions for high-risk gun possession
Violent Misdemeanor or Felony,violent,Prohibitions for high-risk gun possession
Violent Misdemeanor or Felony,violenth,Prohibitions for high-risk gun possession
Violent Misdemeanor or Felony,violentpartial,Prohibitions for high-risk gun possession
Mental Health,invcommitment,Prohibitions for high-risk gun possession
Mental Health,invoutpatient,Prohibitions for high-risk gun possession
Mental Health,danger,Prohibitions for high-risk gun possession
Alcohol and Drugs,drugmisdemeanor,Prohibitions for high-risk gun possession
Alcohol and Drugs,alctreatment,Prohibitions for high-risk gun possession
Alcohol and Drugs,alcoholism,Prohibitions for high-risk gun possession
Background checks,universal,Background checks
Background checks,universalh,Background checks
Gun shows,gunshow,Background checks
Gun shows,gunshowh,Background checks
Background checks,universalpermit,Background checks
Background checks,universalpermith,Background checks
Background checks,backgroundpurge,Background checks
Background checks,threedaylimit,Background checks
Background checks,mentalhealth,Background checks
Background checks,statechecks,Background checks
Background checks,statechecksh,Background checks
Licensing,ammlicense,Ammunition regulations
Recordkeeping,ammrecords,Ammunition regulations
Permitting,ammpermit,Ammunition regulations
Other,ammrestrict,Ammunition regulations
Age restrictions,amm18,Ammunition regulations
Age restrictions,amm21h,Ammunition regulations
Background checks,ammbackground,Ammunition regulations
